annee,boite,carrosserie,cote,energie,gouvernorat,image,kilometrage,lien,page,prix,puissance,titre,transmission,vendeur
2015,Automatique,,Prix élevé,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2026/04/125506_max.jpeg?t=1776346006,210000,https://www.automobile.tn/fr/occasion/bmw/x5/125506,8,110000,13 cv,BMW X5,Intégrale,
2016,Automatique,,Bon prix,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128197_max.jpeg?t=1783686389,250000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/128197,9,135000,19 cv,Land Rover Range Rover Sport,Intégrale,
2023,Automatique,,Prix équitable,Electrique,Ben Arous,https://catalogue.automobile.tn/max/2026/04/125637_max.jpeg?t=1776727582,35000,https://www.automobile.tn/fr/occasion/mercedes-benz/eqe-berline/125637,9,185000,8 cv,Mercedes-Benz EQE Berline,Propulsion,
2022,Automatique,,Prix très élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128436_max.jpeg?t=1784391319,51000,https://www.automobile.tn/fr/occasion/peugeot/308/128436,10,87000,6 cv,Peugeot 308,Traction,
2022,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/04/125113_max.jpeg?t=1785086647,72000,https://www.automobile.tn/fr/occasion/suzuki/celerio/125113,10,39500,4 cv,Suzuki Celerio,Traction,
2015,Automatique,,Très bon prix,Diesel,Ariana,https://catalogue.automobile.tn/max/2025/10/119652_max.jpeg?t=1784019116,152000,https://www.automobile.tn/fr/occasion/bmw/x5/119652,11,98000,13 cv,BMW X5,Intégrale,
2022,Automatique,,Très bon prix,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/04/125787_max.jpeg?t=1777026328,75000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/125787,11,159000,12 cv,Mercedes-Benz Classe E,Intégrale,
2024,Automatique,,Prix équitable,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/08/129674_max.jpeg?t=1788339950,40000,https://www.automobile.tn/fr/occasion/mercedes-benz/gla/129674,12,159000,9 cv,Mercedes-Benz GLA,Traction,
2022,Automatique,,Très bon prix,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/08/129694_max.jpeg?t=1787826348,100000,https://www.automobile.tn/fr/occasion/bmw/x5/129694,12,198000,17 cv,BMW X5,Intégrale,
2010,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/129827_max.jpeg?t=1788218834,163000,https://www.automobile.tn/fr/occasion/fiat/500/129827,13,28500,4 cv,Fiat 500,Traction,
2010,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/129828_max.jpeg?t=1788218790,187000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e-coupe/129828,13,54000,11 cv,Mercedes-Benz Classe E coupé,Traction,
2022,Automatique,,Aucune évaluation,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/08/129178_max.jpeg?t=1786364782,101000,https://www.automobile.tn/fr/occasion/kia/xceed/129178,14,79000,7 cv,KIA XCeed,Traction,
2018,Automatique,,Très bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/129492_max.jpeg?t=1787225158,129000,https://www.automobile.tn/fr/occasion/audi/q3/129492,14,68000,8 cv,Audi Q3,Traction,
2013,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/06/127203_max.jpeg?t=1780997418,178000,https://www.automobile.tn/fr/occasion/mercedes-benz/cla/127203,15,65500,8 cv,Mercedes-Benz CLA,Traction,
2019,Automatique,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/06/127416_max.jpeg?t=1781533564,128000,https://www.automobile.tn/fr/occasion/kia/sportage/127416,15,77000,8 cv,KIA Sportage,Traction,
2023,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/03/124737_max.jpeg?t=1775046821,91000,https://www.automobile.tn/fr/occasion/kia/sportage/124737,16,109000,10 cv,KIA Sportage,Traction,
2017,Automatique,,Très bon prix,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/03/124770_max.jpeg?t=1775035974,159000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/124770,16,90000,8 cv,Land Rover Range Rover Evoque,Traction,
2019,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2025/09/118106_max.jpeg?t=1785757069,103000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/118106,17,190000,17 cv,Land Rover Range Rover Sport,Intégrale,
2019,Manuelle,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2025/12/120958_max.jpeg?t=1778257565,102000,https://www.automobile.tn/fr/occasion/fiat/500/120958,17,41000,4 cv,Fiat 500,Traction,
2021,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/03/124472_max.jpeg?t=1787496480,58000,https://www.automobile.tn/fr/occasion/audi/a3-sportback/124472,18,103000,8 cv,Audi A3 Sportback,Intégrale,
2024,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/09/129887_max.jpeg?t=1788422793,33000,https://www.automobile.tn/fr/occasion/kia/stonic/129887,18,69000,5 cv,KIA Stonic,Traction,
2024,Automatique,,Très bon prix,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/06/127787_max.jpeg?t=1788329697,33600,https://www.automobile.tn/fr/occasion/bmw/serie-3/127787,19,142000,9 cv,BMW Série 3,Intégrale,
2020,Automatique,,Très bon prix,Essence,Ariana,https://catalogue.automobile.tn/max/2026/08/129719_max.jpeg?t=1788187734,131000,https://www.automobile.tn/fr/occasion/audi/a5-sportback/129719,19,84000,8 cv,Audi A5 Sportback,Traction,
2025,Automatique,,Aucune évaluation,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/08/129648_max.jpeg?t=1787678731,18650,https://www.automobile.tn/fr/occasion/mercedes-benz/cle-coupe/129648,20,217000,11 cv,Mercedes-Benz CLE Coupé,Propulsion,
2023,Automatique,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/09/129879_max.jpeg?t=1788377161,29000,https://www.automobile.tn/fr/occasion/kia/picanto/129879,20,52000,4 cv,KIA Picanto,Traction,
2024,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/08/128961_max.jpeg?t=1785860797,26351,https://www.automobile.tn/fr/occasion/hyundai/grand-i10/128961,21,46000,4 cv,Hyundai Grand i10,Traction,
2015,Automatique,,Bon prix,Essence,Ariana,https://catalogue.automobile.tn/max/2026/08/128964_max.jpeg?t=1785857204,184529,https://www.automobile.tn/fr/occasion/audi/a6/128964,21,65000,10 cv,Audi A6,Traction,
2025,Automatique,,Prix élevé,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/06/127355_max.jpeg?t=1781346372,15788,https://www.automobile.tn/fr/occasion/mercedes-benz/cla/127355,22,176000,9 cv,Mercedes-Benz CLA,Traction,
2026,Automatique,,Aucune évaluation,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/07/127957_max.jpeg?t=1782991592,10900,https://www.automobile.tn/fr/occasion/byd/seal/127957,22,137000,9 cv,BYD Seal,Traction,
2013,Automatique,,Prix très élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2026/04/125429_max.jpeg?t=1776111963,168664,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/125429,23,63000,6 cv,Mercedes-Benz Classe A,Traction,
2021,Automatique,,Très bon prix,Essence,Ariana,https://catalogue.automobile.tn/max/2026/04/125667_max.jpeg?t=1778270350,111138,https://www.automobile.tn/fr/occasion/mercedes-benz/gla/125667,23,125000,9 cv,Mercedes-Benz GLA,Traction,
2026,Automatique,,Aucune évaluation,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/01/122823_max.jpeg?t=1769554404,0,https://www.automobile.tn/fr/occasion/audi/q3-sportback/122823,24,238000,9 cv,Audi Q3 Sportback,Traction,
2022,Automatique,,Prix équitable,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/03/124692_max.jpeg?t=1774391134,62250,https://www.automobile.tn/fr/occasion/mercedes-benz/gle/124692,24,230000,12 cv,Mercedes-Benz GLE,Intégrale,
2007,Automatique,,Aucune évaluation,Diesel,Ariana,https://catalogue.automobile.tn/max/2025/04/113342_max.jpeg?t=1757578433,216544,https://www.automobile.tn/fr/occasion/toyota/land-cruiser/113342,25,129000,17 cv,Toyota Land Cruiser,Traction,
2020,Automatique,,Aucune évaluation,Hybride,Ariana,https://catalogue.automobile.tn/max/2025/04/113345_max.jpeg?t=1779124310,116520,https://www.automobile.tn/fr/occasion/audi/q3-sportback/113345,25,130000,8 cv,Audi Q3 Sportback,Traction,
2023,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128470_max.jpeg?t=1784575584,120000,https://www.automobile.tn/fr/occasion/great-wall/h6/128470,26,82000,8 cv,GWM Haval H6,Traction,
2011,Manuelle,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/03/124482_max.jpeg?t=1775844727,203000,https://www.automobile.tn/fr/occasion/fiat/linea/124482,26,28000,6 cv,Fiat Linea,Traction,
2021,Automatique,,Prix équitable,Hybride,Monastir,https://catalogue.automobile.tn/max/2026/08/129236_max.jpeg?t=1786544734,48500,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/129236,27,174000,12 cv,Mercedes-Benz Classe E,Traction,
2023,Automatique,,Prix élevé,Hybride,Sousse,https://catalogue.automobile.tn/max/2026/08/129788_max.jpeg?t=1788109356,43000,https://www.automobile.tn/fr/occasion/mercedes-benz/gla/129788,27,157000,8 cv,Mercedes-Benz GLA,Traction,
2022,Automatique,,Prix équitable,Hybride,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129752_max.jpeg?t=1788006366,35000,https://www.automobile.tn/fr/occasion/mercedes-benz/gle-coupe/129752,28,275000,12 cv,Mercedes-Benz GLE Coupé,Intégrale,
2016,Automatique,,Prix élevé,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129753_max.jpeg?t=1787999184,167000,https://www.automobile.tn/fr/occasion/skoda/octavia/129753,28,48000,8 cv,Skoda Octavia,Traction,
2017,Manuelle,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129555_max.jpeg?t=1787482052,202000,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/129555,29,58000,6 cv,Volkswagen Golf 7,Traction,
2022,Automatique,,Aucune évaluation,Hybride,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129556_max.jpeg?t=1787405140,102000,https://www.automobile.tn/fr/occasion/mercedes-benz/glc/129556,29,170000,11 cv,Mercedes-Benz GLC,Intégrale,
2023,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129118_max.jpeg?t=1786191981,23000,https://www.automobile.tn/fr/occasion/hyundai/i30-fastback/129118,30,85000,7 cv,Hyundai i30 Fastback,Traction,
2022,Automatique,,Prix élevé,Hybride,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129122_max.jpeg?t=1786202850,96000,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/129122,30,105000,8 cv,Volkswagen Golf 8,Traction,
2023,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128707_max.jpeg?t=1785284804,99000,https://www.automobile.tn/fr/occasion/seat/ateca/128707,31,95000,8 cv,Seat Ateca,Traction,
2019,Automatique,,Prix équitable,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128708_max.jpeg?t=1785281201,145000,https://www.automobile.tn/fr/occasion/kia/sportage/128708,31,85000,7 cv,KIA Sportage,Traction,
2012,Automatique,,Prix très élevé,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128395_max.jpeg?t=1784221020,225000,https://www.automobile.tn/fr/occasion/volkswagen/passat-cc/128395,32,42500,9 cv,Volkswagen Passat CC,Traction,
2023,Manuelle,,Prix élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128411_max.jpeg?t=1784296290,95000,https://www.automobile.tn/fr/occasion/kia/picanto/128411,32,42900,5 cv,KIA Picanto,Traction,
2012,Automatique,,Très bon prix,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/06/127769_max.jpeg?t=1782480377,239000,https://www.automobile.tn/fr/occasion/bmw/serie-5/127769,33,57000,10 cv,BMW Série 5,Propulsion,
2011,Manuelle,,Aucune évaluation,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2026/06/127827_max.jpeg?t=1782663951,233000,https://www.automobile.tn/fr/occasion/alfa-romeo/giulietta/127827,33,32000,5 cv,Alfa Romeo Giulietta,Traction,
2022,Manuelle,,Très bon prix,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/05/126956_max.jpeg?t=1780233934,56000,https://www.automobile.tn/fr/occasion/seat/leon/126956,34,67900,6 cv,Seat Leon,Traction,
2022,Automatique,,Prix élevé,Hybride,Ben Arous,https://catalogue.automobile.tn/max/2026/06/127003_max.jpeg?t=1780399636,49000,https://www.automobile.tn/fr/occasion/audi/q5/127003,34,190000,16 cv,Audi Q5,Intégrale,
2014,Manuelle,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/05/126154_max.jpeg?t=1779637099,230000,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/126154,35,42500,5 cv,Volkswagen Golf 7,Traction,
2022,Automatique,,Prix équitable,Diesel,Ariana,https://catalogue.automobile.tn/max/2026/05/126164_max.jpeg?t=1782575916,71000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/126164,35,198000,8 cv,Land Rover Range Rover Evoque,Intégrale,
2021,Automatique,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/04/124948_max.jpeg?t=1777984698,33000,https://www.automobile.tn/fr/occasion/mercedes-benz/glc/124948,36,170000,16 cv,Mercedes-Benz GLC,Intégrale,
2023,Manuelle,,Prix élevé,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/04/124954_max.jpeg?t=1775042809,51000,https://www.automobile.tn/fr/occasion/mahindra/xuv-300/124954,36,48900,6 cv,Mahindra XUV 300,Traction,
2022,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/01/122313_max.jpeg?t=1768306828,78000,https://www.automobile.tn/fr/occasion/chery/tiggo-3x/122313,37,48000,6 cv,Chery Tiggo 3X,Traction,
2022,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/01/122709_max.jpeg?t=1776773474,104000,https://www.automobile.tn/fr/occasion/mercedes-benz/glb/122709,37,150000,9 cv,Mercedes-Benz GLB,Traction,
2014,Manuelle,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2025/11/119815_max.jpeg?t=1773497066,194000,https://www.automobile.tn/fr/occasion/audi/a3/119815,38,48500,5 cv,Audi A3,Traction,
2016,Automatique,,Aucune évaluation,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2025/11/120099_max.jpeg?t=1762601551,94000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-gl/120099,38,180000,16 cv,Mercedes-Benz Classe GL,Intégrale,
2013,Automatique,,Très bon prix,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2025/09/117836_max.jpeg?t=1762694927,258000,https://www.automobile.tn/fr/occasion/audi/q5/117836,39,72000,10 cv,Audi Q5,Intégrale,
2018,Manuelle,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2025/09/117840_max.jpeg?t=1762694880,114000,https://www.automobile.tn/fr/occasion/bmw/serie-1-5p/117840,39,85000,7 cv,BMW Série 1,Traction,
2016,Automatique,,Aucune évaluation,Essence,Ariana,https://catalogue.automobile.tn/max/2025/07/115858_max.jpeg?t=1760526444,70000,https://www.automobile.tn/fr/occasion/bmw/x5/115858,40,297000,plus de 48 cv,BMW X5,Traction,
2021,Automatique,,Prix très élevé,Hybride,Ben Arous,https://catalogue.automobile.tn/max/2025/07/116030_max.jpeg?t=1762695392,56000,https://www.automobile.tn/fr/occasion/kia/stonic/116030,40,79000,6 cv,KIA Stonic,Traction,
2020,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2025/01/110455_max.jpeg?t=1762686597,112000,https://www.automobile.tn/fr/occasion/kia/sportage/110455,41,80000,8 cv,KIA Sportage,Traction,
2013,Automatique,,Prix très élevé,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2025/02/111156_max.jpeg?t=1762858005,405000,https://www.automobile.tn/fr/occasion/kia/sportage/111156,41,46000,11 cv,KIA Sportage,Intégrale,
2022,Automatique,,Prix très élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2024/09/98381_max.jpeg?t=1760525668,30000,https://www.automobile.tn/fr/occasion/skoda/octavia/98381,42,109000,8 cv,Skoda Octavia,Traction,
2008,Automatique,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2024/03/100742_max.jpeg?t=1758718744,151000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-s/100742,42,95000,19 cv,Mercedes-Benz Classe S,Traction,
2021,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/08/128911_max.jpeg?t=1785857220,125000,https://www.automobile.tn/fr/occasion/great-wall/jolion/128911,43,66000,9 cv,GWM Haval Jolion,Traction,
2016,Manuelle,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/02/122948_max.jpeg?t=1786435066,189000,https://www.automobile.tn/fr/occasion/nissan/micra/122948,43,24500,5 cv,Nissan Micra,Traction,
2021,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/09/129856_max.jpeg?t=1788375350,73000,https://www.automobile.tn/fr/occasion/hyundai/grand-i10/129856,44,39000,4 cv,Hyundai Grand i10,Traction,
2014,Automatique,,Aucune évaluation,Essence,Tunis,https://catalogue.automobile.tn/max/2026/09/129857_max.jpeg?t=1788375345,135000,https://www.automobile.tn/fr/occasion/mini/paceman/129857,44,38500,7 cv,Mini Paceman,Traction,
2021,Automatique,,Prix très élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2026/08/129707_max.jpeg?t=1788336353,85000,https://www.automobile.tn/fr/occasion/honda/city/129707,45,54000,6 cv,Honda City,Traction,
2023,Automatique,,Prix équitable,Hybride,Nabeul,https://catalogue.automobile.tn/max/2026/09/129848_max.jpeg?t=1788337170,33000,https://www.automobile.tn/fr/occasion/audi/a3-sportback/129848,45,120000,8 cv,Audi A3 Sportback,Traction,
2022,Automatique,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128536_max.jpeg?t=1788297019,68000,https://www.automobile.tn/fr/occasion/opel/mokka/128536,46,72000,7 cv,Opel Mokka,Traction,
2023,Automatique,,Prix équitable,Essence,Médenine,https://catalogue.automobile.tn/max/2026/08/129806_max.jpeg?t=1788182748,140000,https://www.automobile.tn/fr/occasion/bmw/x2/129806,46,110000,7 cv,BMW X2,Traction,
2024,Manuelle,,Aucune évaluation,Essence,Gafsa,https://catalogue.automobile.tn/max/2026/09/129839_max.jpeg?t=1788276328,10500,https://www.automobile.tn/fr/occasion/opel/crossland/129839,47,58500,5 cv,Opel Crossland,Traction,
2017,Automatique,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/123090_max.jpeg?t=1788277381,170000,https://www.automobile.tn/fr/occasion/peugeot/3008/123090,47,53000,9 cv,Peugeot 3008,Traction,
2015,Automatique,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/06/127337_max.jpeg?t=1781281617,200000,https://www.automobile.tn/fr/occasion/bmw/serie-4-coupe/127337,48,73500,10 cv,BMW Série 4 Coupé,Propulsion,
2019,Automatique,,Prix équitable,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/06/127359_max.jpeg?t=1781353538,150000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-velar/127359,48,195000,19 cv,Land Rover Range Rover Velar,Intégrale,
2026,Automatique,,Aucune évaluation,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/127925_max.jpeg?t=1782912333,4000,https://www.automobile.tn/fr/occasion/skoda/kushaq/127925,49,124900,7 cv,Skoda Kushaq,Traction,
2024,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/08/129607_max.jpeg?t=1788266772,72000,https://www.automobile.tn/fr/occasion/jaguar/e-pace/129607,49,368900,9 cv,Jaguar E-Pace,Intégrale,
2023,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/09/129271_max.jpeg?t=1788270678,46000,https://www.automobile.tn/fr/occasion/fiat/500/129271,50,51000,4 cv,Fiat 500,Traction,
2018,Automatique,,Très bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/129299_max.jpeg?t=1786732021,117000,https://www.automobile.tn/fr/occasion/audi/a5-sportback/129299,50,85000,8 cv,Audi A5 Sportback,Traction,
2022,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/07/128829_max.jpeg?t=1785500798,105000,https://www.automobile.tn/fr/occasion/bmw/x5/128829,51,200000,17 cv,BMW X5,Intégrale,
2024,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128856_max.jpeg?t=1786554076,70000,https://www.automobile.tn/fr/occasion/hyundai/i30/128856,51,73000,7 cv,Hyundai i30,Traction,
2024,Automatique,,Prix équitable,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/06/127730_max.jpeg?t=1782390338,20000,https://www.automobile.tn/fr/occasion/toyota/yaris-cross/127730,52,104000,5 cv,Toyota Yaris Cross Hybride,Traction,
2019,Automatique,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/06/127766_max.jpeg?t=1786447315,160000,https://www.automobile.tn/fr/occasion/kia/sportage/127766,52,66000,8 cv,KIA Sportage,Traction,
2024,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/05/126822_max.jpeg?t=1784720672,30000,https://www.automobile.tn/fr/occasion/volkswagen/tiguan/126822,53,169000,8 cv,Volkswagen Tiguan,Traction,
2018,Manuelle,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/05/126848_max.jpeg?t=1779805559,90000,https://www.automobile.tn/fr/occasion/lada/4x4/126848,53,28000,7 cv,Lada 4x4,Intégrale,
2021,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/04/125136_max.jpeg?t=1775478395,20000,https://www.automobile.tn/fr/occasion/suzuki/jimny/125136,54,87000,6 cv,Suzuki Jimny 3 portes,Intégrale,
2019,Automatique,,Très bon prix,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/04/125137_max.jpeg?t=1784723409,150000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/125137,54,198000,20 cv,Land Rover Range Rover Sport,Propulsion,
2016,Automatique,,Aucune évaluation,Diesel,Tunis,https://catalogue.automobile.tn/max/2025/11/120598_max.jpeg?t=1763720556,190000,https://www.automobile.tn/fr/occasion/land-rover/discovery-sport/120598,55,95000,9 cv,Land Rover Discovery Sport,Propulsion,
2018,Automatique,,Très bon prix,Diesel,Tunis,https://catalogue.automobile.tn/max/2025/12/120962_max.jpeg?t=1776190979,185000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/120962,55,145000,14 cv,Land Rover Range Rover Sport,Propulsion,
2021,Manuelle,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/129723_max.jpeg?t=1788253979,147000,https://www.automobile.tn/fr/occasion/geely/gx3/129723,56,46000,6 cv,Geely GX3,Traction,
2022,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128391_max.jpeg?t=1784215485,82000,https://www.automobile.tn/fr/occasion/fiat/500/128391,56,48000,4 cv,Fiat 500,Traction,
